V,Na_c,Na_i,m,h1,h2,Ca_d,d_L,f_L1,f_L2,K_c,K_i,r,s,a_ur,i_ur,n,pa,Ca_c,Ca_i,O_C,O_TC,O_TMgC,O_TMgMg,O,Ca_rel,Ca_up,O_Calse,F1,F2
-66.28767377337357,130.00547379949612,8.812198494935487,0.00840675531939934,0.40485554039815624,0.16432199393632038,0.0001422268210986086,5.49808091095588e-05,0.9391137424459083,0.7577349630225586,6.014079041344926,129.15708086875287,0.0022391565938433403,0.8202207181973763,0.0010951586416967102,0.9506217667708933,0.013740264229049283,0.027441037821953732,1.7896331497712799,0.00010641218900712738,0.0430157546435818,0.020974850624997814,0.3622465114812646,0.5626663188424065,1.4110958688458997,0.483522911150283,0.7155854401723484,0.3661272210081065,0.08466702349832261,0.0026174146763573783
-66.40756840724413,130.0054189234996,8.812205906272515,0.008285631032454176,0.412061326787967,0.16806686418952885,0.00014103585118906183,5.375510496751066e-05,0.9426246461886926,0.7599878907743963,6.013968616307493,129.15708753583277,0.002213999543464699,0.8233915233223784,0.0010750957079063515,0.9506353299329611,0.013722251570166308,0.026651978663156817,1.789724146869999,0.00010613854896447017,0.042907853919772976,0.020920763144854894,0.36145526010745305,0.5633650429025349,1.410960086095107,0.48488140858134005,0.7149877092152138,0.36678960266541905,0.08532944301558248,0.00260575257994415
-66.52461099448006,130.00536288702767,8.812213475961661,0.008169077444010206,0.4192024112051293,0.17182362050704686,0.00013989229295093195,5.258507416335678e-05,0.9459572587915868,0.7622479772824718,6.013857188033342,129.15709434086145,0.0021897086443159056,0.8264944678863414,0.0010558199317111906,0.9506488923933794,0.01370424976529623,0.025884265764107003,1.7898153061667936,0.00010586813966684094,0.04280121927018707,0.020867318780364744,0.3606670910711076,0.5640610485788798,1.4108249049409012,0.48623091422111936,0.7144014912802862,0.36744622753134176,0.08599131866594428,0.0025945417224848993
-66.63885531313572,130.00530575388908,8.812221195335677,0.008056980702732537,0.4262759006845457,0.17559092113640293,0.0001387937305905115,5.14677325316026e-05,0.9491172641735096,0.7645139008645696,6.013744761241966,129.15710128321072,0.002166251071419213,0.8295297493902513,0.0010372976250572735,0.9506624539907198,0.01368625928618268,0.025137419477528154,1.7899066108934898,0.000105600903569375,0.04269582804095441,0.020814505861317317,0.3598820144605612,0.5647543268560948,1.4106903250443745,0.4875714713916456,0.713826641236985,0.3680971480688675,0.08665265051073048,0.002583765613089587
-66.75035549930355,130.0052475865595,8.812229055907993,0.007949115700995307,0.433279099250554,0.17936746087719196,0.0001377378872526713,5.0400312401661565e-05,0.9521105199144497,0.7667843701841873,6.013631341457631,129.1571083621428,0.002143595300424488,0.832497638867908,0.0010194966247564254,0.950676014573404,0.013668280586185777,0.024410962571297903,1.7899980446601753,0.00010533678271024493,0.042591658207163055,0.02076231304472533,0.35910003962826526,0.5654448693734145,1.4105563460033592,0.4889031268243784,0.7132630143491838,0.3687424165575708,0.08731343862228715,0.0025734083900151275
-66.85916588078365,130.00518844601464,8.812237049395465,0.0078454779099736,0.44020954102326876,0.18315198109834752,0.00013672259660713244,4.93801629273039e-05,0.9549429843199653,0.7690581403491222,6.013516934970323,129.15711557681567,0.0021217109680137197,0.8353984899184256,0.0010023860838248902,0.9506895739971787,0.013650314101932204,0.023704424398996858,1.7900895915043056,0.00010507572228455011,0.04248868820225856,0.020710729229867556,0.3583211752777643,0.5661326683466507,1.4104229673518696,0.49022592396494935,0.7127104666082646,0.36938208517361126,0.08797368307136724,0.002563454752877818
-66.96534108299564,130.0051283919794,8.812245167684468,0.007745600252224465,0.4470649335080914,0.18694325572458534,0.00013574582980051513,4.840482008433118e-05,0.9576207626905272,0.7713339921251859,6.013401548785543,129.15712292629001,0.0021005688728275985,0.8382327183108113,0.00098593660855661,0.9507031321273905,0.013632360252445717,0.023017336254568112,1.790181235825607,0.00010481766856328013,0.042386897056818466,0.020659743630119933,0.3575454294000605,0.566817716616584,1.4102901885619124,0.49153991162894384,0.7121688544165756,0.37001620583934397,0.0886333839387334,0.0025538900075204305
-67.06893567797816,130.00506748264328,8.81225340286965,0.0076491791717963695,0.45384319729530853,0.19074010423377988,0.00013480565464907314,4.747195615853906e-05,0.960149931109126,0.7736107563588281,6.013285190547471,129.1571304095395,0.0020801409382171917,0.8410008129917129,0.0009701200224079304,0.9507166888359577,0.01361441944114177,0.0223492367853903,1.7902729624530356,0.0001045625683014884,0.0422862642639477,0.02060934569892901,0.3567728093665181,0.5675000075783059,1.4101580090463712,0.4928451378675545,0.7116380349540258,0.3706448302692197,0.08929254130789448,0.002544699979199876
-67.1700042681889,130.00500577481546,8.812261747232819,0.007555996195709807,0.46054243590068433,0.1945413841113693,0.00013390024938566327,4.6579379555687426e-05,0.9625365980561472,0.7758873011999848,6.013167868512096,129.1571380254544,0.002060400157759997,0.8437033245872719,0.0009549094064187478,0.9507302440023208,0.013596492055605182,0.021699669635414663,1.7903647566078182,0.00010431037012050478,0.0421867698113622,0.020559525149750357,0.35600332190999456,0.5681795351924841,1.410026428159027,0.4941416508227889,0.7111178660579623,0.37126800999147225,0.08995115526735632,0.0025358710288230883
-67.26860143296655,130.00494332393964,8.812270193240964,0.0074662896873232045,0.4671609278546034,0.19834598971857423,0.00013302789921293304,4.572501926249104e-05,0.9647869010532371,0.7781625305982428,6.013049591508427,129.15714577284712,0.002041320561010067,0.846340861152783,0.000940279054443389,0.9507437975131598,0.013578578468039195,0.021068183494944135,1.7904566038982235,0.00010406102539080305,0.042088394163274236,0.02051027194732671,0.3552369731402702,0.5688562939744238,1.409895445195513,0.4954294957637717,0.7106082062574808,0.3718857964291955,0.09060922591033023,0.0025273900369444852
