V,Ca_SR,Cai,Nai,Ki,Ca_ligand,d,f1,fCa,Xr1,Xr2,Xs,h,j,m,Xf,s,r,dCaT,fCaT,R,O,I,a_ur,i_ur
14.42889936701437,0.34951384798262697,0.00021436273323936246,7.464216884277978,104.19904144937325,0.0,0.9067206229416835,0.27956687499160915,0.9398867039675091,0.11307983630962821,0.034016771419909025,0.09274440829616025,1.5695167235450387e-05,0.003925809279805824,0.9996191253061181,0.012413613166539305,0.7548026841613882,0.226757608853356,0.9987239195693072,0.003405509396299689,0.017459832301251907,0.0001668617938239385,0.009299573885776046,0.6199137258616177,0.5245255482739726
16.23452213477232,0.3495388121348146,0.00022110229313211993,7.4640927765416665,104.19869698603935,0.0,0.9466620833476438,0.2768008305819937,0.9206873607042587,0.12136908092892068,0.02550352659299196,0.09378803792766273,1.184390929594943e-05,0.001404885521583453,0.9997008932434827,0.012256721973276055,0.7114608146677793,0.302686703035929,0.9991541405461813,0.00023465764412582919,0.017277329806415838,0.00018026496787648257,0.01014563280195216,0.7447893707745968,0.524383813314809
17.26950422511137,0.34956019946419176,0.00022752040016030007,7.46396719020104,104.19827568580287,0.0,0.9690630392316273,0.27406158960954224,0.8999259205722148,0.1300281551343023,0.02010161416753891,0.09483129376672086,1.0206820408153317e-05,0.0004693510058164697,0.9997362772065519,0.012097363537074276,0.6694109817465249,0.36876949926973324,0.9992836089682395,-0.0002506576796009921,0.017081298691383136,0.00019315102382865657,0.01098819643302088,0.8267563869809514,0.5242385155779543
17.77274927476423,0.3495780687475107,0.00023370852881067096,7.46384150407499,104.19780494076359,0.0,0.9814518100206815,0.27134916268081344,0.8775171846678645,0.1388435989902247,0.01674038561265227,0.09587372415648623,9.441468840864022e-06,0.0001813963771431705,0.9997544702818013,0.01193764881425482,0.629237055452559,0.421905415478677,0.9993417864957157,-7.341875911799413e-05,0.016873574556639816,0.0002054892699916177,0.011826157056307175,0.8769652135222936,0.524091392622918
17.955627578523472,0.3495925097757913,0.00023974453127784007,7.46371666339101,104.19730942055224,0.0,0.9882071284652559,0.2686634728759792,0.8534895742317067,0.14767686353669407,0.014704615830177459,0.09691503501730388,9.14874211154909e-06,9.351990643628693e-05,0.9997593025832398,0.01177896209445047,0.5912216883612209,0.4621411803603221,0.9993735054874381,1.2510807957314273e-05,0.016655769110289032,0.00021726884633260999,0.012659373298201325,0.9058982456634052,0.5239435366616141
17.965422687380176,0.34960364370652347,0.00024565911691268685,7.463593242999988,104.19680890709495,0.0,0.9918898541616236,0.2660043472649001,0.8279413632566104,0.15644682004564686,0.013499287319797056,0.09795505822029767,9.113430400589167e-06,5.519475707230043e-05,0.9997593956892321,0.011622108813076291,0.5554451997659227,0.49116896981659824,0.9993767897440544,9.811869547088528e-06,0.01642923948500874,0.00022850185063965926,0.013488886190228493,0.9219090556897135,0.5237955427037477
17.89378704604722,0.34961160339546227,0.0002514535267976611,7.463471534254107,104.19631750187355,0.0,0.9939428312085193,0.2633715598163882,0.801078482994702,0.16511266122811916,0.012796728997860564,0.0989937087187169,9.189642190320449e-06,3.132304525460678e-05,0.9997573209564047,0.011467481800433658,0.5218679384430658,0.5112925490812424,0.9993693966761261,-1.215649665433764e-07,0.016195214989030177,0.00023920599909962745,0.014315908372429504,0.9305603429039561,0.5236477003791727
17.796308552064627,0.3496165221353433,0.00025711848831709794,7.463351646792709,104.19584455193775,0.0,0.9951414462417038,0.2607648638910123,0.7732251024514492,0.17365806469336434,0.012389823071503823,0.10003094935756093,9.305878016087832e-06,1.5166434417776484e-05,0.99975434951255,0.011315224319782269,0.4903885292700119,0.5248087666240518,0.9993594123981134,-9.025189251193035e-08,0.01595489370966199,0.0002493927653115375,0.015141097098532834,0.9352480840182477,0.5235001332790157
17.701534178387224,0.34961853305578244,0.0002626399289597899,7.463233574212737,104.19539544185278,0.0,0.9958756226098027,0.25818400311581713,0.7447955827296033,0.18208155023480588,0.01215467456383044,0.1010667720658501,9.42633865976525e-06,5.0193314778144324e-06,0.9997513772479381,0.011165328843001848,0.46087580512025533,0.5336893362485265,0.9993492526354649,2.431412866893247e-06,0.01570946661961026,0.00025906518903052653,0.015964381019869425,0.9378493806510126,0.5233528671464156
17.61490885244194,0.34961777191267096,0.00026800199620135174,7.463117224220375,104.19497192041645,0.0,0.9962500134421028,0.25562871454519903,0.7162644977849637,0.1903918984839237,0.012035811572619987,0.10210119073167234,9.541219941854535e-06,3.750291231998993e-06,0.999748602434794,0.01101768507658306,0.433185391396949,0.5394286556689497,0.9993395462084508,1.347950199802652e-06,0.015460113746873687,0.00026821827851474255,0.01678492651350794,0.9390450424152594,0.5232058550409204
