v,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
16.890084550030764,0.1633069202802912,0.0068764233192053145,7.9321525536071364,7.932558943282098,143.77327231582956,143.7725556223103,2.769244898137702,0.9992314016808088,0.00013941682039255983,0.9965873769593526,8.169693596698007e-08,0.17837432927328623,0.36405970123139614,0.2777164575994528,0.42476710825346947,0.9999872075451917,0.2788902501564337,0.12914165126418956,0.2579010278028158,0.5797735051688124,0.14944240128375444,0.1670855952867841,0.6845151610188142,0.17636250119042923,0.912404444598464,0.8949747804609668,0.676871486420377,0.8446085900650095,0.9249175853880037,0.8907945233930064,0.9562876547032443,0.9346299425040316,0.7366328082997211,0.5761137246961514,0.052604154675786545,0.2709397546956946,0.06874310961695076,0.008394961479003153,0.02320456869956457,1e-09,1e-09,1e-09,0.0,0.5701322984877074,0.008781822109650849,0.9986521190343155,1.532635316122833,1.6144837597625785
21.75184447830989,0.163566105181671,0.019100547180344523,7.932343856500628,7.934733017351542,143.77325668003957,143.7721445604232,2.7681934646083954,0.646422819313312,0.00015619671408892443,0.9979541600447644,3.526717937289031e-08,0.10548437332980899,0.2827779489613968,0.23314178800763458,0.35728132424795234,0.9999951178383384,0.2774992649962494,0.1289265940009099,0.3795833593978774,0.4696103715354703,0.14407726531434342,0.2609066052989585,0.6279395402717033,0.17373976039722575,0.9785697624894805,0.8190595760313184,0.6764159570650018,0.761982904183042,0.9233940878084139,0.8789960665008429,0.9229803182892672,0.8969294493202477,0.8905406979204046,0.3381904591976474,0.10959832589186677,0.37474676987832867,0.13765525660804698,0.010886080422347545,0.02892338186491352,1e-09,1e-09,1e-09,0.0,0.570571964585992,0.012031087636838104,0.9990311445923312,1.256412074515439,1.3801148005653097
25.861022156296404,0.16385751217096317,0.036428456729477116,7.9324726168006805,7.936228360886864,143.77322924501465,143.77183767797152,2.7671240805927493,0.43029189244697774,0.00019816875111745158,0.9986593079520595,1.771687671671446e-08,0.05979496918618676,0.21654722019246542,0.19295893691132576,0.29760027848467574,0.9999977934017007,0.27611523463270154,0.12871189562547536,0.48640191457168325,0.37967910957585144,0.13858953967793117,0.3510106473560201,0.5694407221118478,0.17066260965718205,0.9946297873028509,0.7390621015843464,0.6758659404846594,0.6768404407263316,0.9208851208646421,0.8673540380977824,0.8858052125766077,0.8554100119636163,0.9536523211027584,0.17309515153567157,0.1750516510803126,0.38605058080979754,0.21163298511637357,0.01561292913415333,0.03855697618525349,1e-09,1e-09,1e-09,0.0,0.571034155275131,0.0156835961993924,0.9993186960053394,1.0132845060983033,1.162020610755045
27.964148846216535,0.1641579996615174,0.04351111716422417,7.932567048963516,7.937119467170729,143.77319329286885,143.77162680866832,2.7663074864455073,0.29011733897910746,0.00026887663328387573,0.9989248347347897,1.2393350547329458e-08,0.03288269178793424,0.1642623623484075,0.1580862415035529,0.24628227802213576,0.999998542227833,0.27473810525254105,0.12849755463001328,0.5708890257992973,0.3066435318472894,0.13317216678286284,0.4273241552085323,0.5126239706848672,0.1673470993797132,0.9984003608122657,0.6614782098273282,0.6752721682238323,0.5966719486773687,0.9175449820135112,0.8558661174473059,0.8473691120521878,0.8133449102645258,0.9797933287824306,0.10026189656768932,0.23239497422426655,0.3199856382593787,0.27291940302524453,0.02144187082870196,0.05299649095060201,1e-09,1e-09,1e-09,0.0,0.5715075048929212,0.019672787294343352,0.999528292963566,0.8148906242075332,0.9761316878435344
29.15931666642177,0.164459327645237,0.04082964109793006,7.932642535017045,7.937595028502988,143.7731522739747,143.77149288320675,2.7658843539369915,0.19462023281932034,0.0003548448651166226,0.9990500148436673,1.0144447125816328e-08,0.017789162457111676,0.12398968665098473,0.1287970711797409,0.2031255253703187,0.99999884416359,0.27336784414310955,0.12828357054103462,0.6314679203459768,0.2475383795489769,0.12791294877144402,0.4845750748070438,0.4597830708945636,0.16395618044299606,0.9993233742195134,0.5898179034732967,0.6746616882089338,0.5243831613981765,0.9137281737688003,0.8445303381686909,0.8093824338171263,0.772396190403539,0.9907648875883814,0.06329917716054076,0.2742531200385078,0.24678059278432632,0.3163951972444482,0.027361110190393202,0.07191107643095081,1e-09,1e-09,1e-09,0.0,0.5719854585092351,0.023859701170076276,0.9996761249328997,0.6529992833114846,0.8176321893928906
29.98771419155574,0.16475903298396652,0.03591958407438624,7.932706473915805,7.937810766678446,143.7731086986476,143.77141114251032,2.765864718398833,0.1271565864536343,0.0004454422754305574,0.9991275667228223,8.83631888783675e-09,0.009520752508401613,0.09330394469206675,0.10456190023770022,0.16717963556519033,0.9999990150847567,0.272004417127771,0.12806994277881148,0.673538188906196,0.1997688150315425,0.12283377661015887,0.5258301199544702,0.4114729831307632,0.16055246945103416,0.9995824946117171,0.5247837523038914,0.6740427836146498,0.46009315138273876,0.9096131991972256,0.8333446926543725,0.7724293595964391,0.7330252207205238,0.9954207196450763,0.04135275670852666,0.3018559603774281,0.18514910329477963,0.344413302619907,0.03281609840402595,0.09441305244188283,1e-09,1e-09,1e-09,0.0,0.5724657763359531,0.028172874023758246,0.9997788018767128,0.5203603646992546,0.681821067586
30.646856196957334,0.1650562408858086,0.031129237114481245,7.932762670971779,7.937869174737081,143.77306413495282,143.7713622685616,2.766210384551014,0.0783507094261873,0.0005360434439586258,0.9991843689209879,7.922649761358493e-09,0.005055689900521426,0.0700533370411898,0.08465884632202392,0.1373805728553703,0.9999991319918756,0.2706477901589223,0.12785667075547288,0.7027710140062645,0.16118589278580908,0.11793836997432386,0.5555425347961276,0.3676419965043142,0.1571618239001654,0.9996784816638585,0.46620809467871527,0.6734185301210068,0.4032379420546456,0.9052808290498267,0.822307195242535,0.7367133286737194,0.695352588606385,0.9974076713962517,0.027412828691221358,0.31815697731555864,0.13691320543196264,0.36039095923531406,0.037614946052396195,0.1195113571195595,1e-09,1e-09,1e-09,0.0,0.5729475787708828,0.03257977285837035,0.9998495156969417,0.4107456956350594,0.5642657089810542
31.21704131708662,0.16535040508654528,0.026887984325574793,7.9328132479525735,7.937832403534928,143.77301949906345,143.77133329971323,2.7668739722638036,0.042661620026474514,0.0006240563823154988,0.9992303758599678,7.210646458791723e-09,0.0026699625480113886,0.05249950413456665,0.06838961543943257,0.11274790230837115,0.9999992216015618,0.26929792933987545,0.1276437538812245,0.7234658843881338,0.13003581937677888,0.11322481680330823,0.5773777104999417,0.3280445494578778,0.15379705182385192,0.9997291097541486,0.4136676870812508,0.6727903887061628,0.35310854354390164,0.9007728342585599,0.8114158850939565,0.7023072379456223,0.6593917425695733,0.9982539251237834,0.01827800761234001,0.3259523773341301,0.10032250491764744,0.3673874723295363,0.0417486387648491,0.1463112728862749,1e-09,1e-09,1e-09,0.0,0.573430439765617,0.0370640274174529,0.9998979375954321,0.31816514606336416,0.4599785928270761
31.735249091919005,0.1656410022188349,0.023152945893763356,7.932859439758257,7.93773723672919,143.77297529936607,143.77131595178278,2.7678092528018454,0.01683258071217896,0.0007075178513126376,0.9992698695745124,6.61998437543827e-09,0.0013987612012081236,0.03927665137825619,0.05513421182624816,0.092425266395978,0.9999992948775573,0.2679548009322961,0.12743119156611055,0.7386027361927147,0.10488948444586783,0.10868909907446156,0.5939813616351701,0.29237321359203383,0.1504655002245765,0.9997641032037904,0.36666829100508297,0.6721591948013544,0.30899380167116325,0.8961140071729125,0.8006688263229033,0.66923054173533,0.6251150746851392,0.9986129308640468,0.012209948921775259,0.32754329364849283,0.07301446634154976,0.3678733576285524,0.04528275760064458,0.1740764497032615,1e-09,1e-09,1e-09,0.0,0.5739141160122366,0.04161652575759123,0.9999309832632336,0.23404011480333448,0.35976092943208215
32.22161954171651,0.16592723216686248,0.019499832222773402,7.93290190245319,7.937601792740899,143.77293178401274,143.77130519624785,2.768973759984286,0.00041201761224856997,0.0007842381290178336,0.9993050320128297,6.1104844988483325e-09,0.0007283155367196484,0.029338262059988462,0.044363473688341815,0.07568540852070613,0.9999993572495116,0.2666183713650045,0.12721898322062497,0.7501274273174722,0.08459489103068557,0.10432626262100252,0.6071307709309359,0.2603057409893064,0.14717171247061023,0.9997911894100926,0.3247083061466435,0.6715254788935084,0.2702256265412069,0.8913203870166939,0.7900641088319481,0.6374758767758006,0.5924758805451974,0.9987485327306124,0.008157052147756236,0.32470598717244537,0.05285294661835323,0.3637394713187274,0.04830543023387609,0.20223938635374378,1e-09,1e-09,1e-09,0.0,0.5743984551593334,0.04623200127243956,0.9999534468413069,0.08794842525767611,0.16429627677055672
