V,Na_i,m,h,j,K_i,r,s,s_slow,r_ss,s_ss,y,Ca_i,Ca_SR,z_1,z_2,z_3,TRPN
-64.39885780757427,13.675230673016536,0.048619933144303004,0.00760963783158285,0.0664369193566791,136.95056610692637,0.00899736832955687,0.49948402106938306,0.2174470808352393,0.1045565424456136,0.2493274490186925,0.00279510771880495,0.0009610750141596598,1.3806240664100171,0.8173792501045488,0.025975261541263246,0.1519532309150472,0.03330012220945658
-65.82273761150591,13.675255565605255,0.03937284146900366,0.008976977555470146,0.06671125034253747,136.95054272843478,0.00793918362948704,0.5076527178888366,0.21800749255804439,0.09133487312307857,0.24925742205292406,0.002794354252906821,0.0009448550418916351,1.384959629790068,0.8193171953768946,0.025326684961684456,0.15081136359376446,0.033491387084941614
-67.18775130196532,13.675282753416012,0.03211225270941904,0.010698179669484309,0.06708780640899052,136.95052014023557,0.00704216595883075,0.5157890327778415,0.2185675374590359,0.07826580864571879,0.24919367040346563,0.002793633179753483,0.0009289912323849108,1.389337964950606,0.8212458960287878,0.024695173923625333,0.1496588055698926,0.033689010051370594
-68.48653197416789,13.675312006474233,0.026419761186608288,0.012874227215322815,0.06758631603916358,136.95049873850496,0.006283238397564886,0.5238780950851413,0.21912822831206336,0.0657143787262848,0.2491365492365022,0.002792948833636226,0.0009134699844693124,1.3937523705308317,0.8231605144405403,0.0240818564182922,0.1484987594912643,0.03389230680168644
-69.71288207998667,13.67534307757084,0.02195536639561233,0.015623575425222896,0.06823218076153824,136.95047888535925,0.005642087920162601,0.5319103452472688,0.21969060736032536,0.054031677104005395,0.24908632344316817,0.0027923066600656116,0.0008982786074092468,1.3981969683372548,0.8250572523481526,0.023487550534639842,0.1473338151771895,0.034100663281165705
-70.86204691677224,13.675375707396173,0.01844773841625093,0.01907730375482929,0.0690559823731829,136.95046089463327,0.0051009668689001,0.5398795824428169,0.22025566073712619,0.043514663911826186,0.24904315355870535,0.0027917129561235232,0.0008834054518631995,1.4026665678983974,0.8269331945556465,0.02291280174962519,0.14616605313484876,0.03431352771606824
-71.93088351142269,13.67540963016797,0.015683276109210015,0.023371108140453695,0.0700924285462425,136.95044502171436,0.004644486444678243,0.5477815149899705,0.22082425783640947,0.034371837217390705,0.24900708874697833,0.002791174508448844,0.0008688399495465737,1.407156550632695,0.828786162503054,0.022357919061411175,0.14499714026908492,0.03453040336374408
-72.91791494722767,13.675444579351543,0.013495488214431056,0.028635030066321468,0.07137860429091093,136.9504314580117,0.004259401419639305,0.5556127656630695,0.22139711325561276,0.026702834937077667,0.2489780674854911,0.002790698164919703,0.000854572585455732,1.411662772209217,0.8306145830618779,0.021823009257384084,0.1438284134604801,0.03475084198743799
-73.82327655925701,13.67548029304878,0.011755491393183982,0.03498249050652606,0.07295151634443664,136.95042032999922,0.00393438916099671,0.5633702547328437,0.22197476831127733,0.020496516706744145,0.24895592541288783,0.0027902903903558726,0.00084059482314217,1.416181480879528,0.8324173745566744,0.021308008729347988,0.14266094974818505,0.034974437981741595
-74.64857044427553,13.675516519014078,0.010363923674770474,0.04250031784658722,0.07484510637969274,136.9504117021776,0.003659827311435193,0.5710508765096518,0.22255758823353217,0.015647015873419223,0.24894040919893962,0.002789956853048338,0.0008268990092426645,1.420709253500927,0.834193850648243,0.02081271272387919,0.14149562262490528,0.0352008234962265
